variable_pre13,variable_std,description,pre13_file,variable_post13
LTD Iss-Unsp-Trans Util,LTD Iss-Unsp-Trans Util,      Transit systems...........................................................................................................,c.Txt,29D
LTD Iss-Unsp-General,LTD Iss-Unsp-General,"    General, total..............................................................................................................",c.Txt,DDD
LTD Iss-Unsp-Elem Educ,LTD Iss-Unsp-Elem Educ,        Elementary and secondary education................................................................,c.Txt,29F
LTD Iss-Unsp-Other Educ,LTD Iss-Unsp-Other Educ,        Higher and other education (includes 29H)...............................................,c.Txt,29G
LTD Iss-Unsp-Other NEC,LTD Iss-Unsp-Other NEC,"      All other general functions, NEC.........................................................................",c.Txt,29X
Total LTD Retired,Total LTD Retired,Total Long-Term Debt Retired During Fiscal Year (all types):  Total..............................................................................................................,c.Txt,3--
LTD Ret-Private Purp,LTD Ret-Private Purp,    Public debt for private purposes (N/A before FY 1982).............................................................................................................,c.Txt,34T
LTD Ret-All Other,LTD Ret-All Other,"    All other general functions, NEC.................................................................................................................................",c.Txt,39U
LTD Ret-Utility,LTD Ret-Utility,"    Utilities, total............................................................................................................",c.Txt,DDD
LTD Ret-Util-Water,LTD Ret-Util-Water,      Water supply..............................................................................................................,c.Txt,3-A
LTD Ret-Util-Electric,LTD Ret-Util-Electric,      Electric power............................................................................................................,c.Txt,3-B
LTD Ret-Util-Gas Supply,LTD Ret-Util-Gas Supply,      Gas supply......................................................................................................,c.Txt,3-C
LTD Ret-Util-Transit,LTD Ret-Util-Transit,      Transit systems...........................................................................................................,c.Txt,3-D
LTD Ret-General,LTD Ret-General,"    General, total..............................................................................................................",c.Txt,DDD
LTD Ret-Gen-Elem Educ,LTD Ret-Gen-Elem Educ,        Elementary and secondary education..............................................................,c.Txt,3-F
LTD Ret-Gen-Other Educ,LTD Ret-Gen-Other Educ,        Higher and other education (includes 3-H)...............................................,c.Txt,3-G
LTD Ret-Gen-Other NEC,LTD Ret-Gen-Other NEC,"      All other general functions, NEC (includes 34T).....................................................",c.Txt,3-X
Total LTD Ret-FFC,Total LTD Ret-FFC,"Long-Term Debt Retired, Full-Faith and Credit (Note: Also includes Unspecified Debt retired):  Total..............................................................................................................",c.Txt,31/39-
LTD Ret-FFC-Utility,LTD Ret-FFC-Utility,"    Utilities, total............................................................................................................",c.Txt,DDD
LTD Ret-FFC-Water Util,LTD Ret-FFC-Water Util,      Water supply..............................................................................................................,c.Txt,31/39A
LTD Ret-FFC-Elec Util,LTD Ret-FFC-Elec Util,      Electric power............................................................................................................,c.Txt,31/39B
LTD Ret-FFC-Gas Util,LTD Ret-FFC-Gas Util,      Gas supply......................................................................................................,c.Txt,31/39C
LTD Ret-FFC-Trans Util,LTD Ret-FFC-Trans Util,      Transit systems...........................................................................................................,c.Txt,31/39D
LTD Ret-FFC-General,LTD Ret-FFC-General,"    General, total..............................................................................................................",c.Txt,DDD
LTD Ret-FFC-Elem Educ,LTD Ret-FFC-Elem Educ,        Elementary and secondary education...............................................................,c.Txt,31/39F
LTD Ret-FFC-Other Educ,LTD Ret-FFC-Other Educ,        Higher and other education (includes 31/39H)..............................................,c.Txt,31/39G
LTD Ret-FFC-Other NEC,LTD Ret-FFC-Other NEC,"      All other general functions, NEC............................................................................",c.Txt,31/39X
Total LTD Ret-NG,Total LTD Ret-NG,"Long-Term Debt Retired, Nonguaranteed:  Total..............................................................................................................",c.Txt,34-
LTD Ret-NG-Utility,LTD Ret-NG-Utility,"    Utilities, total............................................................................................................",c.Txt,DDD
LTD Ret-NG-Water Util,LTD Ret-NG-Water Util,      Water supply..............................................................................................................,c.Txt,34A
LTD Ret-NG-Elec Util,LTD Ret-NG-Elec Util,      Electric power............................................................................................................,c.Txt,34B
LTD Ret-NG-Gas Util,LTD Ret-NG-Gas Util,      Gas supply......................................................................................................,c.Txt,34C
LTD Ret-NG-Trans Util,LTD Ret-NG-Trans Util,      Transit systems...........................................................................................................,c.Txt,34D
LTD Ret-NG-General,LTD Ret-NG-General,"    General, total..............................................................................................................",c.Txt,DDD
LTD Ret-NG-Elem Educ,LTD Ret-NG-Elem Educ,        Elementary and secondary education...............................................................,c.Txt,34F
LTD Ret-NG-Other Educ,LTD Ret-NG-Other Educ,        Higher and other education (includes 34H)...............................................,c.Txt,34G
LTD Ret-NG-Private Purp,LTD Ret-NG-Private Purp,      Public debt for private purposes (includes 34W)..............................................,c.Txt,34T
LTD Ret-NG-Other NEC,LTD Ret-NG-Other NEC,"      All other general functions, NEC......................................................................",c.Txt,34X
Total LTD Ret-Unsp,Total LTD Ret-Unsp,"Long-Term Debt Retired, Unspecified (Note: Also included in Full-Faith and Credit debt retired):  Total..............................................................................................................",c.Txt,39-
LTD Ret-Unsp-Utility,LTD Ret-Unsp-Utility,"    Utilities, total............................................................................................................",c.Txt,DDD
LTD Ret-Unsp-Water Util,LTD Ret-Unsp-Water Util,      Water supply..............................................................................................................,c.Txt,39A
LTD Ret-Unsp-Elec Utili,LTD Ret-Unsp-Elec Utili,      Electric power............................................................................................................,c.Txt,39B
LTD Ret-Unsp-Gas Util,LTD Ret-Unsp-Gas Util,      Gas supply......................................................................................................,c.Txt,39C
LTD Ret-Unsp-Trans Util,LTD Ret-Unsp-Trans Util,      Transit systems...........................................................................................................,c.Txt,39D
LTD Ret-Unsp-General,LTD Ret-Unsp-General,"    General, total..............................................................................................................",c.Txt,DDD
LTD Ret-Unsp-Elem Educ,LTD Ret-Unsp-Elem Educ,        Elementary and secondary education..................................................................,c.Txt,39F
LTD Ret-Unsp-Other Educ,LTD Ret-Unsp-Other Educ,        Higher and other education (includes 39H)......................................................,c.Txt,39G
LTD Ret-Unsp-Other NEC,LTD Ret-Unsp-Other NEC,"      All other general functions, NEC........................................................................",c.Txt,39X
Total LTD Out,Total LTD Out,"Long-Term Debt Outstanding, Total:  Total..............................................................................................................",c.Txt,DDD
LTD Out-Private Purp,LTD Out-Private Purp,    Public debt for private purposes (N/A before FY 1982).............................................................................................................,c.Txt,44T
LTD Out-All Other,LTD Out-All Other,"    All other general functions, NEC.................................................................................................................................",c.Txt,49U
Total LTD Out-Utility,Total LTD Out-Utility,"    Utilities, total........................................................................................................",c.Txt,DDD
LTD Out-Util-Water,LTD Out-Util-Water,      Water supply..............................................................................................................,c.Txt,4-A
LTD Out-Util-Electric,LTD Out-Util-Electric,      Electric power............................................................................................................,c.Txt,4-B
LTD Out-Util-Gas Supply,LTD Out-Util-Gas Supply,      Gas supply......................................................................................................,c.Txt,4-C
LTD Out-Util-Transit,LTD Out-Util-Transit,      Transit systems...........................................................................................................,c.Txt,4-D
LTD Out-General,LTD Out-General,"    General, total..............................................................................................................",c.Txt,DDD
LTD Out-Gen-Elem Educ,LTD Out-Gen-Elem Educ,        Elementary and secondary education...............................................................,c.Txt,4-F
LTD Out-Gen-Other Educ,LTD Out-Gen-Other Educ,        Higher and other education (includes 4-H)......................................................,c.Txt,4-G
LTD Out-Gen-Other NEC,LTD Out-Gen-Other NEC,"      All other general functions, NEC (includes 44T)................................................................",c.Txt,4-X
Total LTD Out-FFC,Total LTD Out-FFC,"Long-Term Debt Outstanding, Full-Faith and Credit:  Total..............................................................................................................",c.Txt,41-
LTD Out-FFC-Utility,LTD Out-FFC-Utility,"    Utilities, total............................................................................................................",c.Txt,DDD
LTD Out-FFC-Water Util,LTD Out-FFC-Water Util,      Water supply..............................................................................................................,c.Txt,41A
LTD Out-FFC-Elec Util,LTD Out-FFC-Elec Util,      Electric power............................................................................................................,c.Txt,41B
LTD Out-FFC-Gas Util,LTD Out-FFC-Gas Util,      Gas supply......................................................................................................,c.Txt,41C
LTD Out-FFC-Trans Util,LTD Out-FFC-Trans Util,      Transit systems...........................................................................................................,c.Txt,41D
LTD Out-FFC-General,LTD Out-FFC-General,"    General, total..............................................................................................................",c.Txt,DDD
LTD Out-FFC-Elem Educ,LTD Out-FFC-Elem Educ,41F,c.Txt,520
LTD Out-FFC-Other Educ,LTD Out-FFC-Other Educ,41G,c.Txt,521
LTD Out-FFC-Other NEC,LTD Out-FFC-Other NEC,41X,c.Txt,522
Tot LTD Out-NG,Tot LTD Out-NG,"Long-Term Debt Outstanding, Nonguaranteed:  Total..............................................................................................................",c.Txt,44-
LTD Out-NG-Utility,LTD Out-NG-Utility,"    Utilities, total............................................................................................................",c.Txt,DDD
LTD Out-NG-Water Util,LTD Out-NG-Water Util,      Water supply..............................................................................................................,c.Txt,44A
LTD Out-NG-Elec Util,LTD Out-NG-Elec Util,      Electric power............................................................................................................,c.Txt,44B
LTD Out-NG-Gas Util,LTD Out-NG-Gas Util,      Gas supply......................................................................................................,c.Txt,44C
LTD Out-NG-Trans Util,LTD Out-NG-Trans Util,      Transit systems...........................................................................................................,c.Txt,44D
LTD Out-NG-General,LTD Out-NG-General,"    General, total..............................................................................................................",c.Txt,DDD
LTD Out-NG-Elem Educ,LTD Out-NG-Elem Educ,        Elementary and secondary education.................................................................,c.Txt,44F
LTD Out-NG-Other Educ,LTD Out-NG-Other Educ,        Higher and other education (includes 44H)......................................................,c.Txt,44G
LTD Out-NG-Private Purp,LTD Out-NG-Private Purp,      Public debt for private purposes (includes 44W)..............................................,c.Txt,44T
LTD Out-NG-Other NEC,LTD Out-NG-Other NEC,"      All other general functions, NEC..........................................................................",c.Txt,44X
Total Cash & Securities,Total Cash & Securities,All Funds Cash and Securities (insurance and noninsurance) ...........................,c.Txt,DDD
Insur Trust-Cash & Sec,Insur Trust-Cash & Sec,"Insurance Trust Funds Only Cash and Securities, Total..................................................",c.Txt,DDD
Emp Retire-Cash & Sec,Emp Retire-Cash & Sec,  Employee Retirement Systems:    Total cash and securities.................................................................................,c.Txt,X--
Emp Retire-Cash & Dep,Emp Retire-Cash & Dep,      Cash and deposits .......................................................................................,c.Txt,X21
Emp Retire-Total Sec,Emp Retire-Total Sec,"      Securities, total .............................................................................................",c.Txt,DDD
Emp Retire-Sec-Tot Fed,Emp Retire-Sec-Tot Fed,"        Federal securities, total (Note: Includes  X30 and X33).............................",c.Txt,DDD
Emp Retire-Sec-S&L Secur,Emp Retire-Sec-S&L Secur,        State & local govt (Note: Included in X44 after FY87)............................,c.Txt,X35
Emp Retire-Sec-Tot Nong,Emp Retire-Sec-Tot Nong,"        Nongovernmental securities, NEC...............................................................",c.Txt,DDD
Emp Retire-Sec-Corp Bds,Emp Retire-Sec-Corp Bds,          Corporate bonds...................................................................................,c.Txt,X40
Emp Retire-Sec-Corp Stk,Emp Retire-Sec-Corp Stk,          Corporate stock............................................................................................,c.Txt,X41
Emp Retire-Sec-Mortgages,Emp Retire-Sec-Mortgages,          Mortgages..................................................................................................,c.Txt,X42
Emp Retire-Sec-Misc Inv,Emp Retire-Sec-Misc Inv,          Miscellaneous investments (Note: Added in FY 88).................................,c.Txt,X47
Emp Retire-Sec-Oth Nong,Emp Retire-Sec-Oth Nong,          Other (includes X35 after FY 87)................................................................,c.Txt,X44
Unemp Comp-Cash & Sec,Unemp Comp-Cash & Sec,  Unemployment Compensation Funds (Washington DC only for local govts):    Total cash and securities................................................................................,c.Txt,DDD
Unemp Comp-Bal In US Trs,Unemp Comp-Bal In US Trs,      Balance held in U.S. Treasury......................................................................,c.Txt,Y07
Unemp Comp-Other Balance,Unemp Comp-Other Balance,      Other balances (can be positive or negative)...............................................,c.Txt,Y08
Nonin Trust-Cash & Sec,Nonin Trust-Cash & Sec,"Other Than Insurance Trusts Holdings Cash and Securities, Total.............................",c.Txt,DDD
Sinking Fd-Cash & Sec,Sinking Fd-Cash & Sec,  Sinking Funds (debt service funds) Cash and Securities........................................,c.Txt,DDD
Bond Fd-Cash & Sec,Bond Fd-Cash & Sec,  Bond Funds Cash and Securities.......................................................................,c.Txt,DDD
Oth Nonin Fd-Cash & Sec,Oth Nonin Fd-Cash & Sec ,  All Other Noninsurance Funds Cash and Securities.............................................,c.Txt,DDD
VetBonus,VetBonus,,c.Txt,DDD
